epoch,accuracy,loss,precision_1,recall_1,val_accuracy,val_loss,val_precision_1,val_recall_1
0,0.9358333349227905,0.1786666363477707,0.9358333349227905,0.9358333349227905,0.9775000214576721,0.0746295377612114,0.9775000214576721,0.9775000214576721
1,0.9855555295944214,0.06617129594087601,0.9855555295944214,0.9855555295944214,0.9750000238418579,0.07832877337932587,0.9750000238418579,0.9750000238418579
2,0.9902777671813965,0.05024370923638344,0.9902777671813965,0.9902777671813965,0.9825000166893005,0.07429523020982742,0.9825000166893005,0.9825000166893005
3,0.9925000071525574,0.040686506778001785,0.9925000071525574,0.9925000071525574,0.9825000166893005,0.06406083703041077,0.9825000166893005,0.9825000166893005
4,0.992222249507904,0.040926311165094376,0.992222249507904,0.992222249507904,0.9800000190734863,0.06452354043722153,0.9800000190734863,0.9800000190734863
5,0.9950000047683716,0.030258437618613243,0.9950000047683716,0.9950000047683716,0.9850000143051147,0.04489089921116829,0.9850000143051147,0.9850000143051147
6,0.9938889145851135,0.029653647914528847,0.9938889145851135,0.9938889145851135,0.9775000214576721,0.07573467493057251,0.9775000214576721,0.9775000214576721
7,0.9936110973358154,0.027068190276622772,0.9936110973358154,0.9936110973358154,0.9900000095367432,0.041805192828178406,0.9900000095367432,0.9900000095367432
8,0.9972222447395325,0.01828363910317421,0.9972222447395325,0.9972222447395325,0.9825000166893005,0.06869316846132278,0.9825000166893005,0.9825000166893005
9,0.9969444274902344,0.01779705286026001,0.9969444274902344,0.9969444274902344,0.9850000143051147,0.04447806254029274,0.9850000143051147,0.9850000143051147
10,0.9961110949516296,0.01990564912557602,0.9961110949516296,0.9961110949516296,0.9825000166893005,0.04269872233271599,0.9825000166893005,0.9825000166893005
11,0.991944432258606,0.031148139387369156,0.991944432258606,0.991944432258606,0.9850000143051147,0.05859319865703583,0.9850000143051147,0.9850000143051147
12,0.9950000047683716,0.022184139117598534,0.9950000047683716,0.9950000047683716,0.9750000238418579,0.06432726234197617,0.9750000238418579,0.9750000238418579
13,0.9952777624130249,0.02400093525648117,0.9952777624130249,0.9952777624130249,0.9700000286102295,0.10163066536188126,0.9700000286102295,0.9700000286102295
