epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.6059730052947998,1.1944303512573242,0.8510032296180725,0.41371628642082214,0.7445651888847351,0.7958593368530273,0.8561797738075256,0.6211956739425659
1,0.7733020186424255,0.7323595285415649,0.8675904273986816,0.6785886287689209,0.8097826242446899,0.6234546303749084,0.8997995853424072,0.7320652008056641
2,0.8202071189880371,0.589329719543457,0.8896986246109009,0.7571651935577393,0.824999988079071,0.5759769082069397,0.8850931525230408,0.7744565010070801
3,0.8436295986175537,0.5114960074424744,0.9007227420806885,0.7953997850418091,0.8489130139350891,0.47299978137016296,0.9102563858032227,0.810326099395752
4,0.8644629120826721,0.4446236789226532,0.9120732545852661,0.821953296661377,0.85326087474823,0.46782323718070984,0.9046751856803894,0.8097826242446899
5,0.8772880434989929,0.4069406986236572,0.9158799052238464,0.8411006927490234,0.8809782862663269,0.3938365578651428,0.9237138032913208,0.8489130139350891
6,0.8858983516693115,0.36664798855781555,0.9233824014663696,0.8541064262390137,0.895652174949646,0.35757875442504883,0.9272832870483398,0.866304337978363
7,0.8960741758346558,0.3407423496246338,0.9303016662597656,0.8671724200248718,0.8929347991943359,0.36539098620414734,0.9210977554321289,0.875543475151062
8,0.9058285355567932,0.3125443756580353,0.9355620741844177,0.8829479813575745,0.907608687877655,0.33150023221969604,0.9315459132194519,0.887499988079071
9,0.912692666053772,0.2892873287200928,0.9398218989372253,0.8895713090896606,0.855434775352478,0.464516818523407,0.8898652791976929,0.8255434632301331
10,0.918051540851593,0.2716452181339264,0.9437119960784912,0.8964354395866394,0.8994565010070801,0.3421438932418823,0.9264367818832397,0.876086950302124
11,0.9231093525886536,0.25462883710861206,0.9468038082122803,0.9034200310707092,0.903804361820221,0.3240165114402771,0.9253561496734619,0.8826087117195129
12,0.9255780577659607,0.24340179562568665,0.9467689990997314,0.9060091376304626,0.9016304612159729,0.34625521302223206,0.9273356199264526,0.873913049697876
13,0.9329841136932373,0.22624725103378296,0.9539387226104736,0.9165462255477905,0.8994565010070801,0.3482973575592041,0.9236031770706177,0.8804348111152649
14,0.9373795986175537,0.21319502592086792,0.9551206231117249,0.9226276278495789,0.903804361820221,0.3247433602809906,0.930232584476471,0.8913043737411499
15,0.9388246536254883,0.20477119088172913,0.9563806653022766,0.9228082895278931,0.9032608866691589,0.3324238955974579,0.9247190952301025,0.894565224647522
16,0.9437620639801025,0.19252891838550568,0.9595828056335449,0.9306358098983765,0.906521737575531,0.3423665165901184,0.9259468913078308,0.8902173638343811
17,0.9448458552360535,0.1855069398880005,0.96061772108078,0.9326228499412537,0.898369550704956,0.348601758480072,0.9232518672943115,0.8826087117195129
18,0.9500842690467834,0.17483776807785034,0.9628668427467346,0.9383429884910583,0.9027174115180969,0.33533796668052673,0.9228603839874268,0.8907608985900879
19,0.9518906474113464,0.16671863198280334,0.9646252393722534,0.9408116340637207,0.9103260636329651,0.3252149522304535,0.9313835501670837,0.8999999761581421
20,0.9509874582290649,0.16469329595565796,0.9634757041931152,0.938704252243042,0.8994565010070801,0.34085023403167725,0.920134961605072,0.8891304135322571
21,0.9526131749153137,0.159729465842247,0.9641338586807251,0.9420158863067627,0.895108699798584,0.37755414843559265,0.9088876247406006,0.883695662021637
22,0.9539980888366699,0.15459424257278442,0.9651585221290588,0.944063127040863,0.908152163028717,0.3720139265060425,0.9233333468437195,0.9032608866691589
23,0.9609224200248718,0.1411498636007309,0.9708409905433655,0.9522519111633301,0.9032608866691589,0.36396604776382446,0.9161576628684998,0.89673912525177
24,0.9552625417709351,0.14981238543987274,0.9659726023674011,0.946953296661377,0.897282600402832,0.36702466011047363,0.9149412512779236,0.8885869383811951
25,0.9604407548904419,0.13905659317970276,0.9706604480743408,0.9521917104721069,0.908152163028717,0.3431337773799896,0.9193996787071228,0.8989130258560181
26,0.9618858098983765,0.1360185444355011,0.9723194241523743,0.9538776278495789,0.897826075553894,0.3657670319080353,0.9192546606063843,0.884782612323761
27,0.9598386287689209,0.13967159390449524,0.9695854783058167,0.9520713090896606,0.8994565010070801,0.3666354715824127,0.913188636302948,0.8918478488922119
28,0.9656791687011719,0.12542009353637695,0.9739258289337158,0.9580925107002258,0.905978262424469,0.3521704077720642,0.9174515008926392,0.8999999761581421
29,0.9624879360198975,0.12666825950145721,0.9717732071876526,0.9556238055229187,0.8999999761581421,0.398948073387146,0.9153203368186951,0.8929347991943359
30,0.9678468108177185,0.12005645036697388,0.975252091884613,0.9609826803207397,0.895108699798584,0.3976934254169464,0.9111731648445129,0.886413037776947
31,0.9618256092071533,0.13014191389083862,0.9704605340957642,0.9554431438446045,0.904347836971283,0.373508095741272,0.9181514382362366,0.896195650100708
