epoch,accuracy,loss,precision_2,recall_2,val_accuracy,val_loss,val_precision_2,val_recall_2
0,0.6498675346374512,1.0816797018051147,0.8452613353729248,0.4956647455692291,0.772826075553894,0.7300009727478027,0.8517554998397827,0.7119565010070801
1,0.8429672718048096,0.5485801100730896,0.9097976088523865,0.7822133898735046,0.8885869383811951,0.4272181987762451,0.9330114722251892,0.8402174115180969
2,0.8984826803207397,0.37903857231140137,0.9424915909767151,0.8604888916015625,0.908152163028717,0.352601557970047,0.9395857453346252,0.887499988079071
3,0.9234706163406372,0.29777956008911133,0.9536597728729248,0.8958935737609863,0.926630437374115,0.28448107838630676,0.9512335062026978,0.9010869860649109
4,0.9391859173774719,0.24348784983158112,0.961900532245636,0.9166666865348816,0.9244565367698669,0.3065989017486572,0.9476380348205566,0.904891312122345
5,0.9536368250846863,0.19943282008171082,0.9704617857933044,0.9376806616783142,0.9315217137336731,0.24704349040985107,0.9510135054588318,0.917934775352478
6,0.962186872959137,0.16595637798309326,0.9750108122825623,0.9491208791732788,0.938586950302124,0.2500366270542145,0.9545454382896423,0.9244565367698669
7,0.9680274724960327,0.15399478375911713,0.9770837426185608,0.9550216794013977,0.9402173757553101,0.23800340294837952,0.9613445401191711,0.9326087236404419
8,0.9703757166862488,0.1382499635219574,0.9798930287361145,0.9595375657081604,0.9331521987915039,0.25845399498939514,0.9441964030265808,0.9195652008056641
9,0.9710380434989929,0.12922829389572144,0.9797856211662292,0.9630900621414185,0.935869574546814,0.246179461479187,0.9545199275016785,0.9239130616188049
10,0.9754335284233093,0.1173374354839325,0.9814362525939941,0.9677264094352722,0.9336956739425659,0.25067800283432007,0.9467554092407227,0.927717387676239
11,0.975313127040863,0.11295262724161148,0.9818026423454285,0.9680876731872559,0.939130425453186,0.23008504509925842,0.9521424770355225,0.9298912882804871
12,0.9809730052947998,0.0972466766834259,0.9850982427597046,0.975192666053772,0.935326099395752,0.25124043226242065,0.9484192728996277,0.929347813129425
13,0.9822374582290649,0.09291422367095947,0.9860267043113708,0.9772399067878723,0.9423912763595581,0.22652944922447205,0.9512194991111755,0.9326087236404419
14,0.9812740683555603,0.0874495729804039,0.9860122799873352,0.9762162566184998,0.9336956739425659,0.25389090180397034,0.9465776085853577,0.9244565367698669
15,0.9812740683555603,0.08921750634908676,0.9850610494613647,0.9766979813575745,0.9402173757553101,0.22834867238998413,0.9566184878349304,0.9347826242446899
16,0.9839234352111816,0.08158843219280243,0.9873946905136108,0.9810332655906677,0.9402173757553101,0.21792428195476532,0.9533073902130127,0.9320651888847351
17,0.9868136048316956,0.07402827590703964,0.9887354373931885,0.9830202460289001,0.939130425453186,0.22377796471118927,0.9511653780937195,0.9315217137336731
18,0.9835019111633301,0.08118344843387604,0.9870240092277527,0.9801300764083862,0.9451087117195129,0.214114710688591,0.9600222110748291,0.939673900604248
19,0.9868738055229187,0.06820765882730484,0.9898837208747864,0.9839234352111816,0.9440217614173889,0.21371611952781677,0.9583795666694641,0.938586950302124
